Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
Total Time:834.63872122764598        0.6945              140.4067         0.6150                 6.7763         
Total Time:981.82275271415719        0.7159              232.3489         0.6138                 7.4896         
Total Time:1221.66951632499710       0.7164              327.0461         0.5975                 5.8624         
Total Time:1554.586022853851311       0.7271              132.4288         0.6000                 6.7492         
Total Time:1693.790663719177212       0.7444              142.3259         0.6138                 7.5302         
Total Time:1843.646781444549613       0.7515              137.1083         0.6100                 6.4227         
Total Time:1987.178165197372414       0.7562              136.0304         0.5988                 6.7162         
Total Time:2129.94988536834715       0.7745              136.4467         0.6100                 6.3904         
Total Time:2272.78697276115416       0.7760              413.6443         0.6212                 5.5734         
Total Time:2692.005638122558617       0.7792              103.5234         0.6075                 5.2122         
Total Time:2800.74470996856718       0.7897              97.1513          0.5938                 5.1747         
Total Time:2903.070645809173619       0.7930              95.0238          0.6100                 4.2387         
Total Time:3002.33511042594920       0.8017              97.3269          0.6038                 4.7351         
Total Time:3104.3970379829407Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5723              13911.7158       0.5875                 2.4138         
Total Time:13914.1415231227872        0.6285              71.4096          0.5950                 1.2526         
Total Time:13986.819362640383        0.6500              75.5816          0.6175                 1.7263         
Total Time:14064.1284914016724        0.6634              73.4533          0.5950                 1.5570         
Total Time:14139.1402025222785        0.6629              94.2426          0.6088                 1.6059         
Total Time:14234.9886829853066        0.6859              100.0125         0.6275                 3.4832         
Total Time:14338.4843637943277        0.6907              131.4697         0.6212                 4.2592         
Total Time:14474.2154614925388        0.6945              132.8992         0.6150                 4.1087         
Total Time:14611.2252776622779        0.7159              137.3750         0.6138                 4.4575         
Total Time:14753.05880403518710       0.7164              142.5351         0.5975                 4.0881         
Total Time:14899.68339204788211       0.7271              143.8793         0.6000                 4.8808         
Total Time:15048.44780278205912       0.7444              143.7734         0.6138                 4.1501         
Total Time:15196.37367224693313       0.7515              144.7087         0.6100                 4.2811         
Total Time:15345.3634371757514       0.7562              152.9459         0.5988                 4.0519         
Total Time:15502.3632359504715       0.7745              151.8410         0.6100                 4.1887         
Total Time:15658.39412331581116       0.7760              144.1646         0.6212                 3.9451         
Total Time:15806.5058929920217       0.7792              148.2726         0.6075                 3.9492         
Total Time:15958.7310762405418       0.7897              133.7400         0.5938                 3.8509         
Total Time:16096.32194876670819       0.7930              134.9295         0.6100                 4.1261         
Total Time:16235.37953686714220       0.8017              141.3167         0.6038                 3.7413         
Total Time:16380.438534736633Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5723              44.8821          0.5875                 1.5111         
Total Time:46.403347253799442        0.6285              43.2609          0.5950                 1.9567         
Total Time:91.62401127815247Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5723              41.7420          0.5875                 1.2572         
Total Time:43.004255533218384Epoch    Training_accuracy    Training_time    Validation_accuracy    Validation_time
1        0.5723              47.2020          0.5875                 1.6220         
Total Time:48.8314833641052252        0.6285              47.3887          0.5950                 1.4819         
Total Time:97.703078746795653        0.6500              43.9623          0.6175                 0.9656         
Total Time:142.634032964706424        0.6634              43.6777          0.5950                 1.4703         
Total Time:187.78392767906195        0.6629              42.9328          0.6088                 0.8644         
Total Time:231.584261894226076        0.6859              46.1431          0.6275                 3.2433         
Total Time:280.971625328063967        0.6907              75.8049          0.6212                 3.8734         
Total Time:360.65241098403938        0.6945              148.0963         0.6150                 4.8833         
Total Time:513.63505935668959        0.7159              143.2161         0.6138                 6.6193         
Total Time:663.473475694656410       0.7164              83.0219          0.5975                 3.3309         
Total Time:749.828249216079711       0.7271              76.0869          0.6000                 2.9438         
Total Time:828.861951112747212       0.7444              78.6342          0.6138                 4.5145         
Total Time:912.011553764343313       0.7515              156.3955         0.6100                 5.6724         
Total Time:1074.08149647712714       0.7562              257.7388         0.5988                 5.6973         
Total Time:1337.51866340637215       0.7745              88.3376          0.6100                 3.0888         
Total Time:1428.94604372978216       0.7760              83.3778          0.6212                 3.1457         
